Symbol,Market_Cap,EBITDA_Margin,ROA,Debt_Equity,Sector,Sub_Industry,Regulatory_Risk,Contract_Risk,Debt_Risk,Execution_Complexity,IP_Dependence,Carveout_Flag
AGRI,2171861,0.0,-0.24885,17.068,Consumer Defensive,Farm Products,3,2,3,0,0,0
AGYS,1957759744,0.108950004,0.038039997,23.716,Technology,Software - Application,2,3,3,0,1,0
AHCO,1208408448,0.20572,0.04245,134.992,Healthcare,Medical Devices,4,2,3,0,0,0
AHG,360902656,0.0,-0.03733,2.367,Healthcare,Medical Distribution,4,2,2,0,0,0
AIEV,11308880,0.0,-0.21114999,0.053,Consumer Cyclical,Auto Manufacturers,3,2,1,0,0,0
AIFF,36961140,0.0,-1.62143,,Technology,Software - Application,2,3,3,0,1,0
AIHS,9304223,-0.49081,-0.24861,19.294,Financial Services,Credit Services,3,2,3,0,0,0
AIOT,617491904,0.04665,,61.364,Technology,Software - Infrastructure,2,3,3,0,1,0
AIMD,8025315,0.0,-0.28521,77.338,Healthcare,Medical Devices,4,2,3,0,0,0
AIP,247327120,-0.48911998,-0.18902999,,Technology,Semiconductors,2,2,3,0,0,0
AIRG,43577052,-0.0883,-0.12307999,12.59,Technology,Communication Equipment,2,2,3,0,0,0
AIRJ,288154560,0.0,-0.03786,0.061,Industrials,Building Products & Equipment,2,2,1,0,0,0
AIRT,42933240,0.034730002,0.023570001,1014.3,Industrials,Conglomerates,2,2,3,0,0,0
AISP,114631216,-0.15198,-0.22132999,,Technology,Software - Infrastructure,2,3,3,0,1,0
AIXI,27103990,-0.34737,-0.20817,,Technology,Software - Application,2,3,3,0,1,0
AKAN,1526686,-2.97429,-0.25515,9.413,Healthcare,Drug Manufacturers - Specialty & Generic,4,2,3,0,0,0
AKAM,10602104832,0.27962,0.03924,95.003,Technology,Software - Infrastructure,2,3,3,0,1,0
AKBA,404908064,-0.054330003,-0.124919996,,Healthcare,Drug Manufacturers - Specialty & Generic,4,2,3,0,0,0
AKYA,56292532,-0.41054,-0.16858,1107.913,Healthcare,Medical Instruments & Supplies,4,2,3,0,0,0
AKRO,2772371712,0.0,-0.25373,4.815,Healthcare,Biotechnology,4,2,3,0,0,0
ALAB,9544325120,-0.28492,-0.11599,0.319,Technology,Semiconductors,2,2,1,0,0,0
ALBT,6177246,0.0,-0.14818,110.381,Real Estate,Real Estate Services,3,2,3,0,0,0
ALCO,217444176,-0.02238,-0.02405,42.492,Consumer Defensive,Farm Products,3,2,3,0,0,0
ALDF,301370144,0.0,,1004.806,Financial Services,Shell Companies,3,2,3,0,0,0
ALEC,89603384,-1.36623,-0.16373,33.532,Healthcare,Biotechnology,4,2,3,0,0,0
ALGM,4017607168,0.1309,0.0127799995,42.604,Technology,Semiconductors,2,2,3,0,0,0
ALGN,11723897856,0.2052,0.06866,3.097,Healthcare,Medical Instruments & Supplies,4,2,2,0,0,0
ALGS,24396096,0.0,-0.50285,,Healthcare,Biotechnology,4,2,3,0,0,0
ALGT,850530368,0.10621,0.01255,197.322,Industrials,Airlines,2,2,3,0,0,0
ALKS,4382989312,0.28837,0.12543,5.156,Healthcare,Drug Manufacturers - Specialty & Generic,4,2,3,0,0,0
ALHC,3794437120,-0.02641,-0.08959,327.349,Healthcare,Healthcare Plans,4,2,3,0,0,0
ALKT,2498804224,-0.117790006,-0.066350006,5.168,Technology,Software - Application,2,3,3,0,1,0
ALLK,28848340,0.0,-0.43635,,Healthcare,Biotechnology,4,2,3,0,0,0
ALLO,297653056,0.0,-0.27011,21.497,Healthcare,Biotechnology,4,2,3,0,0,0
ALLT,219501200,0.00228,-0.02706,93.039,Technology,Software - Infrastructure,2,3,3,0,1,0
ALMS,371601856,0.0,-0.87306,11.811,Healthcare,Biotechnology,4,2,3,0,0,0
ALNT,365409664,0.10553,0.032,94.063,Technology,Electronic Components,2,2,3,0,0,0
ALNY,29286742016,-0.05347,-0.0274,4089.284,Healthcare,Biotechnology,4,2,3,0,0,0
ALOT,65500908,0.113570005,0.05327,55.306,Technology,Computer Hardware,2,2,3,0,0,0
ALRS,411487584,0.0,0.0038800002,,Financial Services,Banks - Regional,3,2,3,0,0,0
ALRM,2538446080,0.13865,0.039100002,137.005,Technology,Software - Application,2,3,3,0,1,0
ALT,320376960,0.0,-0.36853,1.361,Healthcare,Biotechnology,4,2,1,0,0,0
ALTO,65579872,0.00455,-0.029240001,50.949,Basic Materials,Specialty Chemicals,3,2,3,0,0,0
ALTI,399691616,-0.30447,-0.03844,6.499,Financial Services,Asset Management,3,2,3,0,0,0
ALVO,2474809344,0.17801,0.040570002,,Healthcare,Drug Manufacturers - Specialty & Generic,4,2,3,0,0,0
ALTS,61741824,-0.33195,-0.093660004,45.586,Technology,Software - Application,2,3,3,0,1,0
ALXO,25624368,0.0,-0.45624,14.943,Healthcare,Biotechnology,4,2,3,0,0,0
AMAL,805237376,0.0,0.01312,,Financial Services,Banks - Regional,3,2,3,0,0,0
ALZN,5080082,0.0,-1.06084,,Healthcare,Biotechnology,4,2,3,0,0,0
AMBA,1851119360,-0.3975,-0.117510006,0.938,Technology,Semiconductor Equipment & Materials,2,2,1,0,0,0
AMAT,112311853056,0.30688998,0.15558,35.372,Technology,Semiconductor Equipment & Materials,2,2,3,0,0,0
AMD,144104685568,0.19973,0.019019999,4.032,Technology,Semiconductors,2,2,3,0,0,0
AMED,3002142464,0.10033,0.06239,38.925,Healthcare,Medical Care Facilities,4,2,3,0,0,0
AMPG,25163520,-0.78071,-0.13336,12.326,Technology,Communication Equipment,2,2,3,0,0,0
AMPH,1120730368,0.353,0.08309,88.837,Healthcare,Drug Manufacturers - Specialty & Generic,4,2,3,0,0,0
AMGN,151300374528,0.45348,0.064,1035.886,Healthcare,Drug Manufacturers - General,4,2,3,0,0,0
AMPL,1165993088,-0.34919998,-0.1526,1.883,Technology,Software - Application,2,3,1,0,1,0
AMRN,187004976,-0.22881001,-0.04558,1.99,Healthcare,Drug Manufacturers - General,4,2,1,0,0,0
AMRK,509069600,0.00674,0.02014,124.324,Financial Services,Capital Markets,3,2,3,0,0,0
AMSC,688966336,0.05302,0.014140001,1.765,Industrials,Specialty Industrial Machinery,2,2,1,0,0,0
AMSF,930035648,0.22694,0.03616,0.166,Financial Services,Insurance - Specialty,3,2,1,0,0,0
AMWD,862637824,0.11298,0.05949,56.407,Consumer Cyclical,"Furnishings, Fixtures & Appliances",3,2,3,0,0,0
AMST,8347689,0.0,-0.88431,,Technology,Software - Application,2,3,3,0,1,0
ANAB,498028832,-1.25266,-0.15347,521.34,Healthcare,Biotechnology,4,2,3,0,0,0
AMZN,1920515178496,0.18882999,0.07438,54.342,Consumer Cyclical,Internet Retail,3,1,3,0,0,0
ANDE,1275204864,0.028469998,0.030199999,56.38,Consumer Defensive,Food Distribution,3,2,3,0,0,0
ANEB,39441312,0.0,-0.42867002,,Healthcare,Biotechnology,4,2,3,0,0,0
ANGH,39450172,-0.53095,-0.23256999,0.328,Communication Services,Entertainment,3,2,1,0,0,0
ANGI,626161600,0.09327,0.0074199997,51.294,Communication Services,Internet Content & Information,3,2,3,0,0,0
ANGO,375208672,-0.02686,-0.06553,5.755,Healthcare,Medical Instruments & Supplies,4,2,3,0,0,0
ANIK,192793600,0.03024,-0.0118700005,16.84,Healthcare,Drug Manufacturers - Specialty & Generic,4,2,3,0,0,0
ANIP,1417180544,0.13404,0.00835,147.173,Healthcare,Drug Manufacturers - Specialty & Generic,4,2,3,0,0,0
ANL,69918688,0.0,-0.4641,74.064,Healthcare,Biotechnology,4,2,3,0,0,0
ANNA,430195712,0.0,-0.06445,3.503,Energy,Oil & Gas E&P,4,2,2,0,0,0
ANSS,25988759552,0.33816,0.058369998,14.222,Technology,Software - Application,2,3,3,0,1,0
ANTE,7139592,0.0,-0.02933,,Communication Services,Advertising Agencies,3,2,3,0,0,0
ANY,11097639,-0.39608002,-0.19006,,Financial Services,Capital Markets,3,2,3,0,0,0
APA,5315334656,0.59428,0.07467,100.865,Energy,Oil & Gas E&P,4,2,3,0,0,0
AOUT,140337504,0.04494,-0.012130001,18.827,Consumer Cyclical,Leisure,3,2,3,0,0,0
APDN,1214147,0.0,-0.63745,4.839,Healthcare,Diagnostics & Research,4,2,3,0,0,0
APEI,422001536,0.093,0.043,66.02,Consumer Defensive,Education & Training Services,3,2,3,0,0,0
API,293040512,-0.34344003,-0.04849,8.756,Technology,Software - Application,2,3,3,0,1,0
APGE,1739136768,0.0,-0.23464,1.651,Healthcare,Biotechnology,4,2,1,0,0,0
APLM,6730435,0.0,-0.7419,19.86,Healthcare,Biotechnology,4,2,3,0,0,0
APLD,1143492480,0.08285,-0.06257,163.027,Technology,Information Technology Services,2,2,3,0,0,0
APLS,2358445824,-0.20884001,-0.12321,205.56,Healthcare,Biotechnology,4,2,3,0,0,0
APM,5214945,0.0,-0.27454,25.647,Healthcare,Biotechnology,4,2,3,0,0,0
APLT,36873220,0.0,-0.76012003,33.452,Healthcare,Biotechnology,4,2,3,0,0,0
APOG,1015125248,0.14264,0.0935,65.345,Industrials,Building Products & Equipment,2,2,3,0,0,0
APP,89691119616,0.49328998,0.20865999,326.33,Technology,Software - Application,2,3,3,0,1,0
APPF,8119726592,0.17783001,0.16373,8.04,Technology,Software - Application,2,3,3,0,1,0
APPS,271968128,0.05661,-0.03399,253.688,Technology,Software - Application,2,3,3,0,1,0
APPN,2017729024,-0.07125,-0.05406,,Technology,Software - Infrastructure,2,3,3,0,1,0
APRE,8424095,0.0,-0.38387,,Healthcare,Biotechnology,4,2,3,0,0,0
APTO,4364655,0.0,-1.42261,,Healthcare,Biotechnology,4,2,3,0,0,0
APVO,1430351,0.0,-0.76058,113.523,Healthcare,Biotechnology,4,2,3,0,0,0
AQB,2404515,0.0,-0.05372,20.89,Consumer Defensive,Farm Products,3,2,3,0,0,0
AQMS,12601712,0.0,-0.39084998,18.155,Industrials,Waste Management,2,2,3,0,0,0
APWC,33604404,0.03056,0.01625,14.414,Industrials,Electrical Equipment & Parts,2,2,3,0,0,0
ARAY,152189888,0.029790001,0.00971,289.667,Healthcare,Medical Devices,4,2,3,0,0,0
AQST,239268800,-0.52171004,-0.24215001,,Healthcare,Drug Manufacturers - Specialty & Generic,4,2,3,0,0,0
ARBE,109369512,0.0,-0.55779,145.012,Technology,Software - Infrastructure,2,3,3,0,1,0
ARBB,15452719,-0.61201,-0.12546,0.053,Technology,Information Technology Services,2,2,1,0,0,0
ARBK,23457818,0.095410004,-0.15429,,Financial Services,Capital Markets,3,2,3,0,0,0
ARCB,1468192000,0.07293,0.0396,31.458,Industrials,Trucking,2,2,3,0,0,0
ARCT,253570144,-0.60485,-0.15461001,11.848,Healthcare,Biotechnology,4,2,3,0,0,0
AREB,4339719,-0.71785,-0.46401,,Consumer Cyclical,Footwear & Accessories,3,2,3,0,0,0
AREC,36960928,0.0,-0.10126001,,Basic Materials,Coking Coal,3,2,3,0,0,0
ARHS,1123242112,0.09825,0.0464,145.311,Consumer Cyclical,Specialty Retail,3,1,3,0,0,0
ARKO,458453152,0.027,0.01733,685.506,Consumer Cyclical,Specialty Retail,3,1,3,0,0,0
ARM,105884835840,0.16243,0.03543,4.222,Technology,Semiconductors,2,2,3,0,0,0
ARQ,147260128,0.056989998,-0.00456,15.815,Industrials,Pollution & Treatment Controls,2,2,3,0,0,0
ARRY,632928960,0.14768,0.03871,241.665,Technology,Solar,2,2,3,0,0,0
ARQT,1594494720,-0.64005995,-0.23252001,70.194,Healthcare,Biotechnology,4,2,3,0,0,0
ARQQ,183170080,0.0,-0.34544998,8.377,Technology,Software - Infrastructure,2,3,3,0,1,0
ARTL,2697334,0.0,-0.71219003,3.64,Healthcare,Biotechnology,4,2,2,0,0,0
ARTV,44828104,0.0,-0.26725,7.691,Healthcare,Biotechnology,4,2,3,0,0,0
ARVN,455269984,-0.93241996,-0.13053,1.727,Healthcare,Biotechnology,4,2,1,0,0,0
ASBP,24383974,0.0,,,Healthcare,Biotechnology,4,2,3,0,0,0
ASLE,383604480,0.07475,0.01051,16.674,Industrials,Airports & Air Services,2,2,3,0,0,0
ASMB,63478596,-1.58804,-0.22179002,9.26,Healthcare,Biotechnology,4,2,3,0,0,0
ASML,255403048960,0.34892,0.12737,27.41,Technology,Semiconductor Equipment & Materials,2,2,3,0,0,0
ASNS,5525053,-0.50154996,-0.25183,48.785,Technology,Communication Equipment,2,2,3,0,0,0
ASO,2527417344,0.10948,0.06937,89.148,Consumer Cyclical,Specialty Retail,3,1,3,0,0,0
ASND,8617673728,-0.75302005,-0.17379,,Healthcare,Biotechnology,4,2,3,0,0,0
ASPI,392050432,0.0,-0.27025998,73.771,Basic Materials,Chemicals,3,2,3,0,0,0
ASPS,69277440,0.06236,0.01637,,Real Estate,Real Estate Services,3,2,3,0,0,0
ASRT,57751180,0.04118,-0.04527,33.255,Healthcare,Drug Manufacturers - Specialty & Generic,4,2,3,0,0,0
ASRV,34690528,0.0,0.0025600002,,Financial Services,Banks - Regional,3,2,3,0,0,0
ASTC,10631728,0.0,-0.25101,0.505,Technology,Scientific & Technical Instruments,2,2,1,0,0,0
ASST,6692049,0.0,-1.07717,,Communication Services,Internet Content & Information,3,2,3,0,0,0
ASTH,1461135232,0.05764,0.04881,91.767,Healthcare,Medical Care Facilities,4,2,3,0,0,0
ASTE,743182336,0.087349996,0.05183,19.824,Industrials,Farm & Heavy Construction Machinery,2,2,3,0,0,0
ASTI,2286013,0.0,-0.54871,74.788,Technology,Solar,2,2,3,0,0,0
ASTL,482351392,-0.07577,,43.58,Basic Materials,Steel,3,2,3,0,0,0
ASYS,52155216,0.03501,0.00307,20.653,Technology,Semiconductor Equipment & Materials,2,2,3,0,0,0
ATAT,3174316800,0.23283,0.14017999,58.821,Consumer Cyclical,Lodging,3,2,3,0,0,0
ATAI,239950272,0.0,-0.27539,23.085,Healthcare,Biotechnology,4,2,3,0,0,0
ATHE,30521852,0.0,-0.78374,1.359,Healthcare,Biotechnology,4,2,1,0,0,0
ATHA,9342846,0.0,-0.55231,2.714,Healthcare,Biotechnology,4,2,2,0,0,0
ATLC,759392704,0.0,0.03684,432.404,Financial Services,Credit Services,3,2,3,0,0,0
ATLN,242172928,-0.03805,-0.10943,,Healthcare,Diagnostics & Research,4,2,3,0,0,0
ATLO,147329632,0.0,0.00477,,Financial Services,Banks - Regional,3,2,3,0,0,0
ATNI,267050704,0.24093,0.01047,103.497,Communication Services,Telecom Services,3,2,3,0,0,0
ATNF,2672636,0.0,-0.51617,12.955,Healthcare,Biotechnology,4,2,3,0,0,0
ATOM,125271912,0.0,-0.45473,7.912,Technology,Semiconductor Equipment & Materials,2,2,3,0,0,0
ATOS,76171544,0.0,-0.19993,,Healthcare,Biotechnology,4,2,3,0,0,0
ATPC,66007132,-1.97528,-0.61026,15.858,Consumer Defensive,Packaged Foods,3,2,3,0,0,0
ATRA,31052224,-0.56833,-0.35657,,Healthcare,Biotechnology,4,2,3,0,0,0
ATRC,1565986944,-0.04573,-0.04089,16.602,Healthcare,Medical Instruments & Supplies,4,2,3,0,0,0
ATRO,779513920,0.06177,0.02404,75.753,Industrials,Aerospace & Defense,2,2,3,0,0,0
ATSG,1481218432,0.26438,0.02118,107.992,Industrials,Airlines,2,2,3,0,0,0
ATXS,229122848,0.0,-0.23357001,1.677,Healthcare,Biotechnology,4,2,1,0,0,0
AUDC,254352864,0.087019995,0.03191,19.009,Technology,Communication Equipment,2,2,3,0,0,0
AUBN,71271480,0.0,0.0065499996,,Financial Services,Banks - Regional,3,2,3,0,0,0
ATXG,3809388,-0.07121,-0.01508,95.676,Industrials,Integrated Freight & Logistics,2,2,3,0,0,0
AUID,67305360,0.0,-0.61424,2.092,Technology,Software - Infrastructure,2,3,2,0,1,0
AUPH,1008068352,0.13594,0.01424,21.026,Healthcare,Biotechnology,4,2,3,0,0,0
AURA,249619728,0.0,-0.27457002,12.35,Healthcare,Biotechnology,4,2,3,0,0,0
AUTL,303387040,0.0,-0.2599,69.556,Healthcare,Biotechnology,4,2,3,0,0,0
AUUD,2050200,0.0,-1.02011,1.736,Technology,Software - Application,2,3,1,0,1,0
AVAH,936451264,0.07773,0.05638,,Healthcare,Medical Care Facilities,4,2,3,0,0,0
AVAV,3921566720,0.09797,0.021459999,6.874,Industrials,Aerospace & Defense,2,2,3,0,0,0
AVBP,573513152,0.0,-0.26912,0.068,Healthcare,Biotechnology,4,2,1,0,0,0
AVDL,688967616,-0.23486,-0.16112,52.599,Healthcare,Drug Manufacturers - Specialty & Generic,4,2,3,0,0,0
AVGO,810146004992,0.52891,0.069759995,166.032,Technology,Semiconductors,2,2,3,0,0,0
AVO,692239296,0.07709,0.0436,37.056,Consumer Defensive,Food Distribution,3,2,3,0,0,0
AVPT,2921385472,0.03797,0.00931,6.102,Technology,Software - Infrastructure,2,3,3,0,1,0
AVT,3870215936,0.03632,0.03688,57.584,Technology,Electronics & Computer Distribution,2,2,3,0,0,0
AVTE,74781296,0.0,-0.44883,0.546,Healthcare,Biotechnology,4,2,1,0,0,0
AVXL,726448256,0.0,-0.24337,,Healthcare,Biotechnology,4,2,3,0,0,0
AWH,1673822,-1.7628,-1.7312601,,Healthcare,Diagnostics & Research,4,2,3,0,0,0
AXGN,700632064,0.0184,-0.01026,68.413,Healthcare,Medical Devices,4,2,3,0,0,0
AWRE,31433934,-0.28656,-0.07793,13.736,Technology,Software - Application,2,3,3,0,1,0
AXON,42810904576,0.060149997,0.012180001,31.41,Industrials,Aerospace & Defense,2,2,3,0,0,0
AXSM,4664410624,-0.63387,-0.27278998,338.428,Healthcare,Biotechnology,4,2,3,0,0,0
AXTI,55173580,-0.05861,-0.02651,21.803,Technology,Semiconductor Equipment & Materials,2,2,3,0,0,0
AYRO,3886369,0.0,-0.27362,2.519,Consumer Cyclical,Auto Manufacturers,3,2,2,0,0,0
AZ,242987968,-1.73932,-0.58897996,20.339,Technology,Software - Application,2,3,3,0,1,0
AZI,136077568,-0.042940002,-0.16650999,,Consumer Cyclical,Auto & Truck Dealerships,3,2,3,0,0,0
AZTA,1212532736,0.034089997,-0.016549999,3.161,Healthcare,Medical Instruments & Supplies,4,2,2,0,0,0
AZN,201120350208,0.32488,0.078779995,74.527,Healthcare,Drug Manufacturers - General,4,2,3,0,0,0
BAFN,54833516,0.0,0.01053,,Financial Services,Banks - Regional,3,2,3,0,0,0
BAND,353790144,0.033299997,-0.01203,161.131,Technology,Software - Infrastructure,2,3,3,0,1,0
BANF,3430200832,0.0,0.01669,,Financial Services,Banks - Regional,3,2,3,0,0,0
BANL,30758750,-0.00202,-0.01265,1.211,Energy,Oil & Gas Midstream,4,2,1,0,0,0
BAOS,3790190,0.0,-0.039419997,5.547,Communication Services,Advertising Agencies,3,2,3,0,0,0
BASE,784817984,-0.37320998,-0.19341,3.382,Technology,Software - Infrastructure,2,3,2,0,1,0
BBCP,300798592,0.25805,0.03511,155.07,Industrials,Engineering & Construction,2,2,3,0,0,0
BBGI,8973964,0.08843,0.01559,195.089,Communication Services,Broadcasting,3,2,3,0,0,0
BBIO,6145006592,-2.50017,-0.47832,,Healthcare,Biotechnology,4,2,3,0,0,0
BBSI,1017565824,0.05547,0.05094,12.132,Industrials,Staffing & Employment Services,2,2,3,0,0,0
BBLG,2248186,0.0,-0.69402003,,Healthcare,Medical Devices,4,2,3,0,0,0
BCAB,17216646,0.0,-0.53713,5.86,Healthcare,Biotechnology,4,2,3,0,0,0
BCAL,396601696,0.0,0.0017,,Financial Services,Banks - Regional,3,2,3,0,0,0
BCBP,155836400,0.0,0.00501,,Financial Services,Banks - Regional,3,2,3,0,0,0
BCDA,8847660,0.0,-1.49028,113.62,Healthcare,Biotechnology,4,2,3,0,0,0
